Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.693,1.7412,1.6723,1.719,1.719,0.0
2010-01-05,1.6713,1.737,1.6713,1.737,1.737,0.0
2010-01-06,1.6798,1.7359,1.6798,1.7315,1.7315,0.0
2010-01-07,1.7242,1.7472,1.6805,1.7389,1.7389,0.0
2010-01-08,1.6954,1.7492,1.6954,1.732,1.732,0.0
2010-01-11,1.6765,1.733,1.6765,1.731,1.731,0.0
2010-01-12,1.687,1.7456,1.687,1.7373,1.7373,0.0
2010-01-13,1.6959,1.7485,1.6959,1.7459,1.7459,0.0
2010-01-14,1.708,1.7698,1.708,1.7641,1.7641,0.0
2010-01-15,1.7085,1.7704,1.7085,1.7644,1.7644,0.0
2010-01-18,1.7312,1.7737,1.7215,1.7633,1.7633,0.0
2010-01-19,1.71,1.7786,1.71,1.7742,1.7742,0.0
2010-01-20,1.7215,1.7904,1.7215,1.7895,1.7895,0.0
2010-01-21,1.7405,1.8032,1.7395,1.8008,1.8008,0.0
2010-01-22,1.7525,1.8301,1.7525,1.8188,1.8188,0.0
2010-01-25,1.8189,1.8213,1.7655,1.7835,1.7835,0.0
2010-01-26,1.8136,1.846,1.8129,1.8336,1.8336,0.0
2010-01-27,1.786,1.8663,1.786,1.8496,1.8496,0.0
2010-01-28,1.8064,1.8712,1.8064,1.868,1.868,0.0
2010-01-29,1.82,1.8729,1.82,1.8729,1.8729,0.0
2010-02-01,1.8728,1.8952,1.819,1.8624,1.8624,0.0
2010-02-02,1.8075,1.8553,1.8075,1.8304,1.8304,0.0
2010-02-03,1.7819,1.85,1.7797,1.85,1.85,0.0
2010-02-04,1.7915,1.8945,1.7915,1.8804,1.8804,0.0
2010-02-05,1.8245,1.8876,1.8245,1.8827,1.8827,0.0
2010-02-08,1.8335,1.8858,1.832,1.8715,1.8715,0.0
2010-02-09,1.8194,1.8731,1.8194,1.843,1.843,0.0
2010-02-10,1.7975,1.8592,1.7975,1.8506,1.8506,0.0
2010-02-11,1.7995,1.8598,1.7995,1.8515,1.8515,0.0
2010-02-12,1.8035,1.87,1.8035,1.8585,1.8585,0.0
2010-02-15,1.8115,1.8593,1.8115,1.8514,1.8514,0.0
2010-02-16,1.8045,1.8566,1.8045,1.8425,1.8425,0.0
2010-02-17,1.7928,1.8572,1.7928,1.833,1.833,0.0
2010-02-18,1.7795,1.8352,1.7795,1.819,1.819,0.0
2010-02-19,1.7725,1.827,1.7725,1.8035,1.8035,0.0
2010-02-22,1.7938,1.8094,1.7468,1.808,1.808,0.0
2010-02-23,1.7607,1.8208,1.7607,1.8196,1.8196,0.0
2010-02-24,1.7757,1.8239,1.7757,1.8186,1.8186,0.0
2010-02-25,1.7728,1.838,1.7728,1.836,1.836,0.0
2010-02-26,1.7745,1.8285,1.7745,1.806,1.806,0.0
2010-03-01,1.7868,1.8112,1.749,1.798,1.798,0.0
2010-03-02,1.7458,1.798,1.7325,1.7325,1.7325,0.0
2010-03-03,1.7423,1.7904,1.7423,1.788,1.788,0.0
2010-03-04,1.7401,1.7922,1.7401,1.7885,1.7885,0.0
2010-03-05,1.7382,1.7885,1.7382,1.778,1.778,0.0
2010-03-08,1.7734,1.7876,1.7276,1.7847,1.7847,0.0
2010-03-09,1.7844,1.7974,1.7374,1.781,1.781,0.0
2010-03-10,1.725,1.7787,1.725,1.768,1.768,0.0
2010-03-11,1.7185,1.7722,1.7185,1.769,1.769,0.0
2010-03-12,1.7142,1.7657,1.7142,1.761,1.761,0.0
2010-03-15,1.7144,1.7659,1.7136,1.7614,1.7614,0.0
2010-03-16,1.7136,1.7662,1.7136,1.7662,1.7662,0.0
2010-03-17,1.717,1.7662,1.717,1.762,1.762,0.0
2010-03-18,1.7126,1.7884,1.7126,1.771,1.771,0.0
