Date,cr-ma3
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,-0.8634665533464216
2010-01-19,-0.9016644162482884
2010-01-20,-0.8512525276800829
2010-01-21,-0.7938706085884254
2010-01-22,-0.83211966890488
2010-01-25,-0.8296219389080363
2010-01-26,-0.8192131034996303
2010-01-27,-0.7858572520843604
2010-01-28,-0.7665001711686489
2010-01-29,-0.7472100493640749
2010-02-01,-0.7358956199215854
2010-02-02,-0.7214339888617404
2010-02-03,-0.7035996272426372
2010-02-04,-0.6795858454790216
2010-02-05,-0.6618108765746923
2010-02-08,-0.6304873359922366
2010-02-09,-0.6048800009076337
2010-02-10,-0.5797728092189584
2010-02-11,-0.5580213742314754
2010-02-12,-0.5376344764323041
2010-02-15,-0.5102125379990072
2010-02-16,-0.48317886831884743
2010-02-17,-0.46019227502511245
2010-02-18,-0.44312805466798477
2010-02-19,-0.40917185066740713
2010-02-22,-0.38741122233188674
2010-02-23,-0.3710977480017268
2010-02-24,-0.36470116964337645
2010-02-25,-0.3549439692918936
2010-02-26,-0.3491711257104173
2010-03-01,-0.3384996103430036
2010-03-02,-0.3336746149789305
2010-03-03,-0.3367766229122156
2010-03-04,-0.35045776264896594
2010-03-05,-0.364979470897639
2010-03-08,-0.3914112844013664
2010-03-09,-0.41476966471887916
2010-03-10,-0.4407881896195046
2010-03-11,-0.4700628484941676
2010-03-12,-0.5069223843179537
2010-03-15,-0.5379209324384105
2010-03-16,-0.5677741954368483
2010-03-17,-0.6041807780174051
2010-03-18,-0.6441245321443061
2010-03-19,-0.6841020407307257
2010-03-22,-0.7208716033864826
2010-03-23,-0.7541821740090511
2010-03-24,-0.7874467172638753
2010-03-25,-0.8276293673787426
2010-03-26,-0.8673542506630886
2010-03-28,-0.9097280955535613
2010-03-29,-0.9477490332114227
2010-03-30,-0.97779782446945
2010-03-31,-1.0000248751399783
2010-04-01,-1.0192347795412615
2010-04-04,-1.0411499346640711
2010-04-05,-1.0639620736966835
2010-04-06,-1.0843952242639043
2010-04-07,-1.094128192160447
2010-04-08,-1.0966300317312931
2010-04-11,-1.0976918814123184
2010-04-12,-1.099626578446819
2010-04-13,-1.1032851082588058
2010-04-14,-1.1072568232458437
2010-04-15,-1.1095095197768612
2010-04-18,-1.1084195821547018
2010-04-19,-1.1047634481025754
2010-04-20,-1.1036220345470538
2010-04-21,-1.0953563613330837
2010-04-22,-1.0870687764418443
2010-04-25,-1.07864520656603
2010-04-26,-1.0729468865994007
2010-04-27,-1.0686645968415267
2010-04-28,-1.0656367157799445
2010-04-29,-1.059977114222437
2010-05-02,-1.0541767274988854
2010-05-03,-1.0493563916042865
2010-05-04,-1.0445357216483793
2010-05-05,-1.0485232505130835
2010-05-06,-1.0589764668757886
2010-05-09,-1.0689495118565853
2010-05-10,-1.0708226468269433
2010-05-11,-1.0728924951797547
2010-05-12,-1.0762666809829502
2010-05-13,-1.0836067581595743
2010-05-16,-1.0906913951839987
2010-05-17,-1.0918624752137926
2010-05-18,-1.0801734047985778
2010-05-19,-1.059128571941784
2010-05-20,-1.039834699596945
2010-05-23,-1.0254876441747929
2010-05-24,-1.0084257807462005
2010-05-25,-0.9972838008006185
2010-05-26,-0.9845412955661179
2010-05-27,-0.9724695962128347
2010-05-30,-0.9558121070317086
2010-05-31,-0.9317676998521128
2010-06-01,-0.9040880369907456
2010-06-02,-0.8691983208433769
2010-06-03,-0.8341601818555442
2010-06-06,-0.7931255564294599
2010-06-07,-0.7605164441147444
2010-06-08,-0.7219856371114073
2010-06-09,-0.6864435355686128
2010-06-10,-0.6515190963732453
2010-06-13,-0.6111609938616984
2010-06-14,-0.5808158104397299
2010-06-15,-0.5676191790402731
2010-06-16,-0.5550708277925874
2010-06-17,-0.5338076433278128
2010-06-20,-0.5046358438861664
2010-06-21,-0.48386717669644075
2010-06-22,-0.4665828518887896
2010-06-23,-0.4666989861477877
2010-06-24,-0.4762412324752968
2010-06-27,-0.48343582751569825
2010-06-28,-0.4944526073726381
2010-06-29,-0.5134235120366026
2010-06-30,-0.536400870544023
2010-07-01,-0.5597951801257472
2010-07-04,-0.5907306151581455
2010-07-05,-0.6126714771204058
2010-07-06,-0.6438587194837546
2010-07-07,-0.673440893756851
2010-07-08,-0.7035672457878603
2010-07-11,-0.7362837184737274
2010-07-12,-0.7729756708148282
2010-07-13,-0.7959229198740468
2010-07-14,-0.8342555720128129
2010-07-15,-0.8759248739503392
2010-07-18,-0.9172727976078476
2010-07-19,-0.9561287377758162
2010-07-20,-0.9894125244095024
2010-07-21,-1.0065484585886721
2010-07-22,-1.021212719466574
2010-07-25,-1.0434359453999782
2010-07-26,-1.0707212180054775
2010-07-27,-1.0908364764459446
2010-07-28,-1.1107996619311284
2010-07-29,-1.1187492648885455
2010-08-01,-1.1220357215752117
2010-08-02,-1.1333493303962578
2010-08-03,-1.1351865504202578
2010-08-04,-1.1325457748468029
2010-08-05,-1.1230213720267583
2010-08-08,-1.1179290978436431
2010-08-09,-1.1079312652854132
2010-08-10,-1.1102606307613505
2010-08-11,-1.1072068329355849
2010-08-12,-1.1073685008050964
2010-08-15,-1.1088852374609557
2010-08-16,-1.1085668103568915
2010-08-17,-1.1092287015834545
2010-08-18,-1.1144977706275998
2010-08-19,-1.1104643666475065
2010-08-22,-1.0985460479986997
2010-08-23,-1.082891625558634
2010-08-24,-1.0707102825731802
2010-08-25,-1.0592393282453325
2010-08-26,-1.0518524204174895
2010-08-29,-1.0473087765517743
2010-08-30,-1.0398914032700073
2010-08-31,-1.034385613891634
2010-09-01,-1.0280430999657093
2010-09-02,-1.024994344858294
2010-09-05,-1.0184471494827252
2010-09-06,-1.0142655420816975
2010-09-07,-1.0035647441853213
2010-09-08,-0.9940779711346619
2010-09-09,-0.9820538170467712
2010-09-12,-0.9672023696473839
2010-09-13,-0.9504092027309163
2010-09-14,-0.9344669643909059
2010-09-15,-0.9206558295449124
2010-09-16,-0.9091505405414534
2010-09-19,-0.8983871899641146
2010-09-20,-0.890173868375678
2010-09-21,-0.8851357752899741
2010-09-22,-0.8799910599831422
2010-09-23,-0.8776480719760602
2010-09-26,-0.873922315769371
2010-09-27,-0.8726649040306597
2010-09-28,-0.8721784577815046
2010-09-29,-0.8761679135937694
2010-09-30,-0.8770309401728212
2010-10-03,-0.8766192645686539
2010-10-04,-0.8768819360491725
2010-10-05,-0.8777491377556582
2010-10-06,-0.8746295789487923
2010-10-07,-0.8762612886383622
2010-10-10,-0.8791163815917256
2010-10-11,-0.8883807698379528
2010-10-12,-0.8963436706447202
2010-10-13,-0.9021063458653983
2010-10-14,-0.909171760689159
2010-10-17,-0.9139429114057634
2010-10-18,-0.9285676612060584
